C_number,simulation,experiment,experiment_std
1,26,24,2.943920289
1,23,21.33333333,5.436502143
1,28,31,4.320493799
1,27,23.66666667,4.784233365
1,19,12.33333333,1.699673171
1,19,8,0
1,25,17.33333333,9.030811456
1,26,25,4.966554809
1,24,21.66666667,6.599663291
1,24,22.66666667,4.027681991
1,24,26.33333333,4.109609335
1,26,24.33333333,12.91854825
1,23,16.66666667,7.586537784
1,23,40.33333333,6.12825877
1,25,34.66666667,11.46976702
1,21,11,2.943920289
2,27,15.66666667,2.624669291
2,24,19.66666667,3.681787006
2,28,28.33333333,1.885618083
2,26,30.33333333,2.357022604
2,28,22.33333333,5.906681716
2,25,27.5,3.5
2,28,24,9.933109617
2,30,25.5,10.5
2,29,25,6.480740698
2,28,22.33333333,2.624669291
2,28,23.33333333,6.236095645
2,27,25,4.966554809
2,29,22.33333333,6.599663291
2,24,19,0.816496581
2,24,18,4.242640687
2,25,22.33333333,3.091206165
2,21,11,4.320493799
2,24,16.66666667,1.247219129
2,29,31,4.242640687
2,28,28.33333333,3.091206165
2,28,24.66666667,4.496912521
2,29,25.33333333,6.236095645
2,30,24.66666667,3.399346342
2,26,27.33333333,3.299831646
4,26,32.33333333,2.624669291
4,33,13.66666667,2.867441756
4,28,24.33333333,2.624669291
4,37,35.33333333,0.471404521
4,35,25.66666667,5.249338583
4,32,36.66666667,8.576453554
4,32,29,6.377042157
4,27,21,3.741657387
4,26,21.33333333,1.247219129
4,34,34,7.071067812
4,33,18.33333333,11.14550233
4,32,30.33333333,8.178562764
8,35,35,1
8,43,24.66666667,2.494438258
8,45,31.66666667,1.885618083
8,35,29.66666667,1.247219129
8,40,24,0.816496581
8,40,37.66666667,6.236095645
15,52,40,3.265986324
15,54,37.33333333,4.18993503
15,53,36.33333333,3.681787006
15,50,31,13.49073756
15,55,45.66666667,2.054804668
15,55,43.33333333,6.599663291
15,53,48,8.831760866
15,51,38,0
15,52,40.66666667,7.586537784
15,55,44.33333333,4.784233365
15,52,42.66666667,6.649979114
15,51,46,0.816496581
15,54,42,3.741657387
15,53,45,2.943920289
15,53,50,6.683312552
15,54,45.66666667,10.33870828
16,55,43.44444444,6.075654718